Id_Franquicia,Nombre_Franquicia,Min_Inversion,Max_Inversion,Año_Fundado,Unidades
752,Junbi,269000.0,576000.0,2019,5
753,Amsterdam Falafelshop,366000.0,513000.0,2007,5
754,Jaggers,2500000.0,3880000.0,2014,5
755,Classic Rock Coffee,232000.0,438000.0,2012,5
756,SMOKE's POUTINERIE,316000.0,537000.0,2012,5
757,Balance Pan-Asian Grille,733000.0,1230000.0,2021,5
758,Papa Ray's,178000.0,380000.0,2009,5
759,DMK Burger Bar,329000.0,780000.0,2016,5
760,Mahana Fresh,222000.0,744000.0,2018,5
761,Churroholic,478000.0,728000.0,2017,5
762,NuYo,189000.0,441000.0,2008,5
763,HCK Hot Chicken Restaurant,192000.0,619000.0,2020,5
764,Bevaris Alliance,57000.0,407000.0,1977,5
765,Reis & Irvy's,140000.0,114000.0,2016,5
766,Rascal House,389000.0,695000.0,2015,5
767,Mister O1 Extraordinary Pizza,393000.0,1100000.0,2017,5
768,Ori'Zaba's,413000.0,855000.0,2001,5
769,Chill-N Nitrogen Ice Cream,450000000.0,550000000.0,2018,5
770,Tom's Urban,1820000.0,5090000.0,2014,5
771,Village Juice,350000.0,640000.0,2017,5
772,Vicious Biscuit,744000.0,1130000.0,2021,4
773,Anu Sushi,199000.0,291000.0,2018,4
774,Kinya,389000.0,1560000.0,2022,4
775,Grater Grilled Cheese,344000.0,455000.0,2018,4
776,Evoo,345000.0,487000.0,2020,4
777,Steve's Pizza,474000.0,980000.0,2011,4
778,Eggmania,281000.0,377000.0,2020,4
779,Uberrito,549000.0,985000.0,2015,4
780,The Original Rainbow Cone,82000.0,2930000.0,1926,4
781,Stricklands,189000.0,315000.0,1936,4
782,Smokin' Oak Pizza,268000.0,982000.0,2015,4
783,Gina Maria's Pizza,165000.0,263000.0,1996,4
784,Stickhouse,12000.0,695000.0,1950,4
785,City Brew Tours,68000.0,92000.0,2019,4
786,Elbows Mac  N'Cheese,190000.0,955000.0,2018,4
787,Burger Boss,544000.0,806000.0,2019,4
788,The Donut Experiment,279000.0,334000.0,2015,4
789,America's Dog And Burger,299000.0,694000.0,2015,4
790,Eight Turn Crepe,123000.0,348000.0,2013,3
791,The Boil Daddy,107000.0,823000.0,2020,3
792,Wicked Slush,136000.0,356000.0,2017,3
793,Los Pollos Bros,245000.0,532000.0,2021,3
794,Umai,153000.0,350000.0,2019,3
795,Old New York,701000.0,1150000.0,1994,3
796,The Dolly Llama,141000.0,435000.0,2018,3
797,Pokitomik,124000.0,288000.0,2017,3
798,Topz Sandwich Company,132000.0,414000.0,2017,3
799,Bubbleology,206000.0,459000.0,2014,3
800,Matiki Island B.B.Q.,202000.0,319000.0,2016,3
801,Society Wine Bar,148000.0,330000.0,2017,3
802,Nick N Willy's,87000.0,549000.0,1988,3
803,Kahala Coffee Traders,80000.0,462000.0,2008,3
804,Egg N' Joe,741000.0,1690000.0,2016,3
805,H&H Bagels,527000.0,822000.0,1972,3
806,Tru Bowl,141000.0,196000.0,2018,3
807,Humble Donuts Co.,193000.0,344000.0,2018,3
808,Eggholic,307000.0,455000.0,2018,3
809,Rich Farm Ice Cream,151000.0,233000.0,2013,3
810,Kisses From Italy,184000.0,691000.0,2017,3
811,Chickpeas Kitchen,217000.0,320000.0,2019,3
812,Blue Margaritas,207000.0,372000.0,2021,3
813,Zambrero,330000.0,1400000.0,2007,3
814,Green Mill On The Go,147000.0,575000.0,2010,3
815,Roots And Rye,113000.0,195000.0,2015,3
816,Fire + Ice,1130000.0,3460000.0,2015,3
817,Built Custom Burgers,409000.0,1300000.0,2014,3
818,Hook & Reel restaurant,403000.0,1590000.0,2018,3
819,Fish-O-Licious,123000.0,200000.0,2011,3
820,Above The Crust,161000.0,565000.0,2018,3
821,The Waffle Experience,318000.0,600000.0,2016,3
822,Pizza Karma,383000.0,622000.0,2021,3
823,Smalls Sliders,1080000.0,1280000.0,2018,2
824,Donut Distillery,198000.0,330000.0,2017,2
825,Burrito Bar,341000.0,627000.0,2017,2
826,Pokeatery,229000.0,485000.0,2015,2
827,Cuppa Yo,147000.0,309000.0,2009,2
828,Doner And Gyros,281000.0,587000.0,2017,2
829,Melty Way,211000.0,358000.0,2013,2
830,Churrito Loco,167000.0,254000.0,2021,2
831,Redstraw,277000.0,493000.0,2018,2
832,Ranch One,170000.0,461000.0,2008,2
833,Sourdough and Co,197000.0,285000.0,2008,2
834,Taffer's Tavern,1430000.0,2680000.0,2019,2
835,Snowdays,125000.0,353000.0,2017,2
836,Jazen Tea,183000.0,390000.0,2005,2
837,"We, The Pizza",673000.0,896000.0,2011,2
838,Dripp,442000.0,927000.0,2017,2
839,Vitaly,515000.0,980000.0,2018,2
840,Shawarma Stackz,690000.0,1230000.0,2019,2
841,Scooped Cookie Dough Bar,95000.0,182000.0,2019,2
842,Spilled Milk Ice Cream,280000.0,550000.0,2020,2
843,Apóla Greek Grill,98000.0,549000.0,2019,2
844,Bee and Tea,148000.0,287000.0,2014,2
845,Mad for Chicken,437000.0,917000.0,2019,2
846,Poke House,225000.0,586000.0,2015,2
847,Ginger Ales,233000.0,690000.0,2020,2
848,Bopngrill,296000.0,562000.0,2009,2
849,KEO Restaurant,221000.0,425000.0,2017,2
850,Wolfnights,257000.0,493000.0,2017,2
851,Hanshin Pocha,422000.0,585000.0,2012,2
852,Pelicana Chicken,288000.0,590000.0,1982,2
853,Café Landwer,770000.0,1260000.0,2015,2
854,Pizza Cat,150000.0,1910000.0,2017,2
855,Ginger Sushi + Poke Shop,262000.0,406000.0,2015,2
856,Duff’s CakeMix,272000.0,415000.0,2012,2
857,CrunCheese Korean Hot Dog,225000.0,544000.0,2019,2
858,Chicago Chicken Shack,280000.0,488000.0,2022,2
859,Pizzava,252000.0,524000.0,2021,2
860,Riverside Pizzeria,428000.0,428000.0,1988,2
861,Crimson Coward,258000.0,496000.0,2019,2
862,Beavertails,160000.0,1050000.0,1978,2
863,Carousel's Soft Serve Icery,71000.0,329000.0,2018,2
