Id_Estado,Nombre_Estado,Total_Poblacion,Categoria_Densidad
1,Alabama,5039877,Mediana
2,Alaska,732673,Baja
3,Arizona,7276316,Alta
4,Arkansas,3025891,Mediana
5,California,39237836,Alta
6,Colorado,5812069,Mediana
7,Connecticut,3605597,Mediana
8,Delaware,1003384,Baja
9,District of Columbia,670050,Baja
10,Florida,21781128,Alta
11,Georgia,10799566,Alta
12,Hawaii,1441553,Baja
13,Idaho,1900923,Baja
14,Illinois,12671469,Alta
15,Indiana,6805985,Mediana
16,Iowa,3193079,Mediana
17,Kansas,2934582,Mediana
18,Kentucky,4509394,Mediana
19,Louisiana,4624047,Mediana
20,Maine,1372247,Baja
21,Maryland,6165129,Mediana
22,Massachusetts,6984723,Alta
23,Michigan,10050811,Alta
24,Minnesota,5707390,Mediana
25,Mississippi,2949965,Mediana
