Id_Franquicia,Nombre_Franquicia,Min_Inversion,Max_Inversion,Año_Fundado,Unidades
100,Filta Environmental Kitchen Solutions,123600000.0,139250000.0,2000,340
101,The Habit Burger Grill,1470000.0,1850000.0,1969,338
102,Shipley Donuts,655000.0,1340000.0,1936,337
103,Biggby Coffee,246000.0,746000.0,1998,334
104,Carvel,35000.0,884000.0,1934,326
105,Schlotzsky Austin Eatery,569000.0,1850000.0,1971,326
106,Wienerschnitzel,20000.0,156000.0,1961,323
107,Penn Station East Coast Subs,367000.0,820000.0,1985,319
108,Menchie's,143000.0,471000.0,2008,304
109,Steak n Shake,316000.0,2340000.0,2005,304
110,Blaze Pizza,605000.0,1090000.0,2011,303
111,Hooters,1260000.0,4099999.9999999995,1984,297
112,Rally's,169000.0,2370000.0,1985,292
113,Flowers Foods (Flowers Baking Co),58000.0,240000.0,2013,292
114,TGI Fridays,2720000.0,4330000.0,1972,292
115,Krystal,782000.0,1880000.0,2020,287
116,Huddle House,558000.0,1440000.0,1964,286
117,Global Orange,276000.0,439000.0,1998,281
118,Cicis,242000.0,1020000.0,1985,279
119,Mountain Mike's,418000.0,799000.0,2017,265
120,Perkins Restaurant & Bakery,1180000.0,3290000.0,1958,265
121,Canteen,8000.0,41000.0,1994,262
122,Marble Slab Creamery,105000.0,402000.0,1983,250
123,Jason's Deli,1020000.0,1550000.0,1983,244
124,Taco Bell Express,228000.0,590000.0,2016,242
125,Delivery.Com,60000.0,91000.0,2019,242
126,Dippin' Dots,109000.0,367000.0,1999,239
127,Genji,42000.0,134000.0,1997,228
128,Chicken Salad Chick,745000.0,991000.0,2012,225
129,Sweetfrog,96000.0,608000.0,2009,221
130,Which Wich,254000.0,822000.0,2003,220
131,Smashburger,1330000.0,2350000.0,2008,217
132,A&W All American Food,278000.0,1050000.0,1950,212
133,Pizza Ranch,985000.0,4000000.0,1984,211
134,Fazoli's,378000.0,2330000.0,2006,210
135,Yogurtland,181000.0,554000.0,2006,209
136,Häagen-Dazs,215000.0,543000.0,1983,208
137,L&L Hawaii,134000.0,535000.0,1952,205
138,Fox's Pizza Den,108000.0,244000.0,1974,198
139,WaBa Grill,336000.0,572000.0,2006,192
140,Pelican's Snoballs,71000.0,210000.0,2016,191
141,Bruster's,318000.0,2370000.0,1993,188
142,Bruegger's Bagels,690000.0,1230000.0,1992,187
143,Corner Bakery Cafe,952000.0,1950000.0,1991,187
144,American Deli,296000.0,551000.0,1989,181
145,Nekter Juice Bar,226000.0,685000.0,2012,177
146,Donatos Pizza,457000.0,990000.0,1963,173
147,Mellow Mushroom,1650000.0,2440000.0,1975,173
148,Togo's,232000.0,477000.0,2008,169
149,TCBY,134000.0,697000.0,2000,168
150,Quiznos,458000.0,1430000.0,1981,166
151,Philly Pretzel Factory,134000.0,351000.0,2004,163
152,Playa Bowls,189000.0,465000.0,2016,163
153,Great Harvest Bakery Cafe,42000.0,725000.0,1976,162
154,California Pizza Kitchen,1260000.0,6700000.0,1985,161
155,Wayback Burgers,209000.0,703000.0,2002,160
156,The Flame Broiler,390000.0,639000.0,1996,158
157,Ben & Jerry's,156000.0,549000.0,1978,157
158,Rocky Mountain Chocolate Factory,104000.0,530000.0,1982,154
159,Black Bear Diner,1500000.0,2060000.0,2001,153
160,Planet Smoothie,81000.0,447000.0,1995,152
161,Kilwins Chocolates,216000.0,828000.0,1947,149
162,Pretzelmaker,109000.0,386000.0,1991,148
163,PJ's Coffee of New Orleans,192000.0,1130000.0,1978,147
164,Coffee Bean & Tea Leaf,192000.0,786000.0,1963,146
165,The Human Bean,386000.0,938000.0,1998,145
166,Capriotti's Sandwich Shop,417000.0,749000.0,1976,145
167,Slim Chicken's,1600000.0,4390000.0,2011,144
168,Blimpie,75000.0,524000.0,2006,142
169,Beef 'O' Brady's,809000.0,1290000.0,2007,139
170,Fuddruckers,495000.0,1570000.0,1996,139
171,Skyline Chili,360000.0,530000.0,1949,138
172,Fuzzy's Taco Shop,490000.0,1610000.0,2008,137
173,Logan's Roadhouse,1370000.0,3290000.0,1995,136
174,Clean Juice,279000.0,686000.0,2016,135
175,Hoodz,36000.0,228000.0,2008,134
176,On The Border Mexican Grill,1100000.0,4540000.0,1982,133
177,Port Of Subs,311000.0,528000.0,1985,132
178,Famous Dave's,71000.0,4500000.0,1994,132
179,Sizzler,1330000.0,2610000.0,1997,129
180,The Original Pancake House,543000.0,2210000.0,1991,128
181,Lee's Famous Recipe,352000.0,2080000.0,2013,126
182,Bb.q Chicken,255000.0,788000.0,2014,126
183,Tijuana Flats,475000.0,893000.0,2001,125
184,Ruth's Chris Steak House,2540000.0,5930000.0,1965,125
185,Rosati's Pizza,147000.0,1250000.0,2005,125
186,Mrs. Fields,151000.0,416000.0,2004,125
187,Sharetea,296000.0,502000.0,2015,124
188,Bonchon,472000.0,1160000.0,2009,122
189,Teriyaki Madness,306000.0,731000.0,2016,121
190,Village Inn,1100000.0,2750000.0,2020,120
191,Pieology Restaurants,304000.0,808000.0,2012,119
192,Paris Baguette,653000.0,1750000.0,1991,118
193,Pita Pit,353000.0,574000.0,2001,118
194,Mochinut Restaurant,189000.0,336000.0,2017,117
195,Gateway Newstands,56000.0,502000.0,1989,116
196,Golden Krust,226000.0,687000.0,1995,115
197,BurgerFi,610000.0,1040000.0,2011,113
198,Ding Tea,195000.0,324000.0,2004,112
199,Duck Donuts,424000.0,649000.0,2012,112
